NIWA SolarView Calculations
26 Feb 2018

Description,Address unknown
Latitude,-41.02
Longitude,175.54
Panel Tilt,10
Bearing,30
Ground Albedo,0.10
Climate Zone,WI,Wairarapa
Years of Data,14

Month,Day,Hour,Temperature,Rel. Hum.,Wind speed,Global Irr.,Diffuse Irr.,Tilted Irr.,Elevation,Azimuth
,,,¡C,%,m/s,W/m2,W/m2,W/m2,¡,¡
01,01,00,11.0,88,0.5,0,0,0,0,178
01,01,01,10.5,91,0.0,0,0,0,0,163
01,01,02,9.0,91,0.5,0,0,0,0,149
01,01,03,9.0,91,1.0,0,0,0,0,136
01,01,04,8.6,92,0.5,0,0,0,0,125
01,01,05,11.0,94,1.0,78,24,84,6,115
01,01,06,15.0,87,1.5,203,84,217,17,106
01,01,07,16.8,78,2.5,317,127,337,28,98
01,01,08,19.0,65,1.5,533,138,571,39,88
01,01,09,21.0,63,3.0,558,411,568,50,77
01,01,10,21.1,53,2.5,661,505,668,61,61
01,01,11,22.0,44,4.1,780,353,800,69,35
01,01,12,23.0,44,4.1,842,281,857,72,353
01,01,13,21.1,35,3.0,656,504,653,67,316
01,01,14,22.0,39,3.0,483,401,478,58,294
01,01,15,22.0,42,3.6,636,522,624,47,280
01,01,16,21.3,47,2.0,350,176,324,35,269
01,01,17,20.0,48,2.0,381,50,293,24,260
01,01,18,18.0,65,2.5,86,84,84,13,251
01,01,19,16.3,67,3.0,17,16,16,3,242
01,01,20,15.0,72,2.0,0,0,0,0,232
01,01,21,15.0,76,3.0,0,0,0,0,220
01,01,22,15.1,78,1.5,0,0,0,0,207
01,01,23,15.0,86,1.0,0,0,0,0,193
01,02,00,15.0,86,1.0,0,0,0,0,178
01,02,01,14.4,87,2.0,0,0,0,0,163
01,02,02,15.0,76,0.5,0,0,0,0,149
01,02,03,15.0,80,0.5,0,0,0,0,136
01,02,04,16.2,69,3.0,0,0,0,0,125
01,02,05,18.0,74,5.1,17,17,17,6,116
01,02,06,19.0,68,5.1,72,72,72,16,106
01,02,07,20.5,64,7.7,139,133,138,27,98
01,02,08,19.0,77,2.0,142,142,141,39,88
01,02,09,21.0,81,5.6,278,278,276,50,77
01,02,10,21.7,76,10.3,425,384,425,61,61
01,02,11,22.0,78,12.8,461,461,458,69,35
01,02,12,23.0,69,9.2,489,489,486,72,354
01,02,13,21.2,68,9.2,442,386,440,67,316
01,02,14,22.0,62,9.7,444,444,441,58,294
01,02,15,22.0,61,7.7,314,314,312,47,280
01,02,16,21.4,59,8.7,622,73,545,35,269
01,02,17,20.0,61,9.2,414,99,330,24,260
01,02,18,19.0,61,8.2,214,46,118,13,251
01,02,19,17.5,55,7.7,44,24,24,3,242
01,02,20,17.0,51,7.2,0,0,0,0,232
